"interactor_A","interactor_B"
2,251
2,2391
2,2658
2,3341
4,3972
7,4121
7,12214
9,1736
9,2285
11,4516
11,5034
11,5762
14,1564
15,253
17,17
17,19
17,333
17,380
17,396
17,426
17,472
17,600
17,605
17,617
17,986
17,987
17,1257
17,1361
17,1433
17,1693
17,1931
17,1937
17,1941
17,2249
17,2256
17,2433
17,2502
17,2806
17,2848
17,3004
17,3092
17,3135
17,3166
17,3253
17,3358
17,3528
17,3529
17,3828
17,3967
17,3972
17,4006
17,4052
17,4360
17,4362
17,4565
17,4566
17,4632
17,4899
17,5056
17,5132
17,5133
17,5134
17,5135
17,5136
17,5293
17,5384
17,5535
17,5895
17,6341
17,6715
17,6834
17,7045
17,7185
17,7482
17,7564
17,8261
17,8879
17,9221
17,11069
17,11361
17,11605
17,13572
17,13912
19,19
19,605
19,986
19,1931
19,3828
19,5535
23,472
30,7072
31,31
33,6260
36,8792
40,1371
45,777
45,1179
45,4867
47,47
47,49
47,777
47,778
47,1058
47,1447
47,1464
47,2171
47,3206
47,3473
47,3626
47,3677
47,5059
47,5511
47,5638
47,7383
47,7532
47,8389
47,8747
47,16090
47,19228
48,7726
49,49
49,745
49,777
49,778
49,2907
49,4867
49,5638
49,5911
49,7107
49,7383
49,7532
51,53
51,1464
51,2854
51,3995
51,5065
51,6014
51,6035
51,10029
51,10247
52,4471
52,4473
52,4475
52,4476
52,4480
52,5131
52,5415
52,5638
52,7136
52,9816
53,53
53,701
53,1061
53,1136
53,2288
53,4959
53,5263
53,5280
53,5535
53,5899
53,6014
53,14407
53,14793
54,55
54,1956
54,2513
54,5338
54,6014
54,11865
56,57
56,457
56,459
56,2765
56,2769
57,58
57,1600
57,2771
57,8180
57,11469
58,2423
58,10768
57,59
59,2423
60,1034
60,4799
60,5034
60,7986
61,61
67,4039
67,5124
68,253
68,3532
68,7480
68,10741
68,14660
73,4060
79,855
80,4475
88,88
94,94
94,1272
98,98
98,472
98,485
98,492
98,740
98,742
98,976
98,1314
98,1418
98,1457
98,1621
98,1693
98,2002
98,2082
98,2083
98,2231
98,2248
98,2774
98,3152
98,3164
98,3389
98,3619
98,3646
98,4035
98,4537
98,4822
98,4896
98,5002
98,5113
98,5125
98,5129
98,5573
98,5798
98,5822
98,6128
98,6643
98,6710
98,6737
98,7257
98,7497
98,7511
98,7730
98,7987
98,8247
98,8426
98,9219
98,9289
98,9928
98,10351
98,11000
98,13309
98,16587
99,6680
100,4513
100,4516
100,5050
101,840
103,5010
106,301
106,7317
72,107
107,109
107,162
107,186
107,288
107,290
107,435
107,653
107,660
107,694
107,701
107,1849
107,1851
107,1853
107,1854
107,1918
107,1926
107,1937
107,2382
107,2525
107,2829
107,3131
107,3295
107,3984
107,4064
107,4090
107,4619
107,4945
107,5063
107,5772
107,6133
107,6173
107,6188
107,6361
107,6865
107,7032
107,7393
107,8341
107,8828
107,9722
107,9992
107,11651
107,11894
107,12316
107,14368
107,14489
107,17000
108,4571
109,1842
109,1848
109,1853
109,2848
109,3416
109,3741
109,6721
109,9420
112,15909
113,1445
113,5842
114,1132
114,1445
115,117
115,840
115,841
115,5873
115,5875
115,12007
116,302
116,492
116,840
116,869
116,2852
116,5873
116,5875
116,6750
116,8733
116,10605
116,10971
117,840
117,841
117,869
117,1445
117,4671
117,5873
117,5875
117,6025
117,6750
117,7727
117,8637
117,10971
119,119
119,267
119,4035
119,4841
119,9963
123,236
128,2827
129,3210
129,3212
129,11628
130,4037
131,302
132,4833
132,11608
135,267
135,1468
135,1670
135,3488
135,3655
135,3661
135,5385
135,10548
136,12423
136,14235
137,298
137,472
137,640
137,1418
137,1464
137,2256
137,3134
137,4006
137,4035
137,4718
137,5124
137,5385
137,5670
137,5955
137,6940
137,7119
144,144
144,236
144,267
144,302
144,395
144,472
144,473
144,701
144,742
144,743
144,744
144,828
144,859
144,934
144,976
144,1011
144,1023
144,1064
144,1094
144,1175
144,1249
144,1413
144,1418
144,1497
144,1520
144,1621
144,1622
144,1659
144,1939
144,1978
144,1979
144,2149
144,2253
144,2254
144,2256
144,2365
144,2412
144,2416
144,2492
144,2614
144,2763
144,2767
144,2848
144,2864
144,2918
144,2988
144,3151
144,3206
144,3225
144,3247
144,3350
144,3438
144,3564
144,3672
144,3677
144,3688
144,3748
144,3752
144,3753
144,3978
144,3995
144,4168
144,4323
144,4385
144,4389
144,4474
144,4475
144,4489
144,4571
144,4631
144,4632
144,4777
144,4925
144,4941
144,4942
144,4955
144,5010
144,5033
144,5061
144,5073
144,5136
144,5361
144,5829
144,5883
144,5967
144,6115
144,6188
144,6275
144,6374
144,6490
144,6579
144,6600
144,6854
144,6862
144,6863
144,6878
144,6940
144,7564
144,7616
144,7754
144,8247
144,8651
144,9211
144,9274
144,9665
144,9907
144,10968
144,11785
144,12130
144,12539
144,12829
144,14180
144,15916
144,16034
144,16452
144,16671
144,16975
145,828
145,1464
145,2256
145,2864
145,4489
145,5361
145,8651
145,8698
145,9665
145,11708
147,6049
147,8706
147,11711
147,15522
149,1556
151,3931
151,7506
152,152
153,2259
154,10359
162,162
162,165
162,3483
166,4523
167,1426
167,1937
167,2256
167,2259
167,2500
167,2861
167,3564
167,4618
167,6341
167,9896
168,168
168,2476
168,2608
168,2703
169,170
169,8242
169,8243
176,2452
177,1340
2,182
182,182
182,699
186,186
186,649
186,1113
186,1885
186,2081
186,2142
186,2250
186,2434
186,2595
186,2903
186,4518
186,4989
186,4994
186,4995
186,4999
186,5000
186,5017
186,5061
186,5212
186,5302
186,5403
186,5910
186,6458
186,7212
186,7634
186,8074
186,9528
186,9940
186,10938
186,12451
186,13278
186,13638
186,17845
188,2256
192,869
192,1230
192,3566
192,3567
192,4899
192,5830
192,5842
192,8188
192,8326
193,1314
193,1544
193,2994
193,3028
193,4202
193,5128
193,5727
193,7800
193,8098
193,12778
195,6938
200,4068
200,4829
200,4959
200,13425
200,16597
201,16038
204,404
204,3166
204,8074
206,3115
206,8145
207,3551
207,4224
207,5006
207,5293
207,5573
207,5739
208,1487
208,2907
208,3551
208,4223
208,4622
214,2478
216,4574
216,13977
217,6724
217,13977
218,3131
222,236
222,416
222,600
222,2249
222,2256
222,7816
222,9576
225,253
225,6691
226,253
226,4035
226,7837
227,239
227,253
227,2723
227,4324
227,4785
227,7136
227,9862
227,11698
228,253
229,229
229,1032
229,1055
229,1061
229,1064
229,1217
229,2505
229,3986
229,4370
229,4639
229,4781
229,4963
229,5124
229,5421
229,7491
229,7868
229,7869
229,9380
229,10300
229,11126
231,231
231,1146
231,1175
231,2250
231,2704
231,3082
231,3753
231,3969
231,4332
231,4600
231,4893
231,5401
231,5454
231,6439
231,6837
231,7127
232,232
232,6539
233,1418
233,2145
233,2848
233,3015
233,3358
233,3619
233,4896
233,4978
233,5125
233,8247
233,9122
233,12427
234,234
234,236
234,237
234,594
234,598
234,599
234,600
234,716
234,1012
234,1179
234,1981
234,2410
234,2411
234,2763
234,3964
234,4920
234,4921
234,4922
234,4923
234,4925
234,4989
234,4994
234,4995
234,4996
234,5573
234,5739
234,5761
234,5883
234,5932
234,6398
234,6719
234,7238
234,7533
234,8112
234,8504
234,9121
234,9135
234,9861
234,10107
234,10548
234,10892
234,11256
234,12513
234,13039
234,16030
234,16469
234,17078
235,235
235,236
235,594
235,598
235,600
235,2448
235,4921
235,4922
235,4923
235,4925
235,4989
235,4994
235,4995
235,4996
235,5004
235,5573
235,5724
235,5739
235,5761
235,5850
235,5883
235,7078
235,7394
235,7533
235,8112
235,9135
235,9551
235,10107
235,11256
236,236
236,237
236,290
236,594
236,598
236,599
236,600
236,601
236,796
236,1314
236,1386
236,2160
236,2432
236,2848
236,2862
236,3616
236,3865
236,3964
236,3978
236,4698
236,4843
236,4925
236,4989
236,4994
236,4995
236,4996
236,4997
236,5004
236,5761
236,6021
236,6290
236,7076
236,7078
236,7177
236,7310
236,7893
236,7901
236,9135
236,9369
236,9845
236,10107
236,10285
236,10727
236,10816
236,11256
236,12059
236,12513
236,15916
236,16469
237,237
237,594
237,598
237,600
237,2418
237,3984
237,5124
237,6080
237,10603
237,11256
238,1131
238,5166
238,7360
240,240
240,241
240,245
240,1569
240,2658
240,3586
241,250
241,3586
243,564
243,570
243,579
243,3001
243,3669
243,4920
243,5061
243,6366
243,8074
243,12451
244,6314
244,7113
248,4530
251,2806
251,3206
251,4612
251,5268
251,7616
251,9076
251,9755
253,253
253,276
253,358
253,519
253,607
253,710
253,855
253,995
253,1028
253,1029
253,1061
253,1065
253,1180
253,1248
253,1394
253,1422
253,1477
253,1534
253,1583
253,1702
253,1734
253,1979
253,2001
253,2054
253,2074
253,2106
253,2314
253,2421
253,2552
253,2589
253,2649
253,2710
253,2791
253,2806
253,2839
253,3291
253,3317
253,3398
253,3574
253,3582
253,3760
253,3761
253,3810
253,3898
253,4113
253,4136
253,4140
253,4149
253,4173
253,4174
253,4180
253,4182
253,4183
253,4189
253,4324
253,4362
253,4496
253,4499
253,4633
253,4658
253,4691
253,4743
253,4794
253,4807
253,4948
253,5096
253,5134
253,5148
253,5164
253,5172
253,5295
253,5303
253,5442
253,5446
253,5515
253,5522
253,5552
253,5667
253,5781
253,5791
253,5844
253,5856
253,5858
253,5865
253,5928
253,5988
253,5995
253,6035
253,6066
253,6088
253,6191
253,6275
253,6289
253,6304
253,6328
253,6342
253,6411
253,6461
253,6504
253,6529
253,6817
253,6968
253,7113
253,7126
253,7127
253,7136
253,7232
253,7241
253,7253
253,7284
253,7308
253,7447
253,7500
253,7507
253,7577
253,7605
253,7682
253,7685
253,7729
253,7814
253,7837
253,7844
253,7868
253,8008
253,8019
253,8048
253,8564
253,8622
253,8664
253,8704
253,8747
253,8914
253,8967
253,8984
253,9023
253,9097
253,9125
253,9214
253,9216
253,9246
253,9313
253,9325
253,9386
253,9486
253,9517
253,9580
253,9601
253,9685
253,9728
253,9778
253,9832
253,9872
253,9898
253,9902
253,9987
253,10086
253,10109
253,10178
253,10320
253,10378
253,10444
253,10600
253,10604
253,10625
253,10634
253,10744
253,10836
253,11241
253,11285
253,11331
253,11344
253,11379
253,11535
253,11681
253,11739
253,11753
253,11754
253,11892
253,11906
253,12158
253,12199
253,12227
253,12235
253,12251
253,12286
253,12312
253,12328
253,12367
253,12401
253,12405
253,12445
253,12452
253,12474
253,12476
253,12537
253,12564
253,12592
253,12634
253,12657
253,12662
253,12701
253,12835
253,12911
253,13373
253,13403
253,13460
253,13578
253,13581
253,13592
253,13638
253,13686
253,13717
253,13759
253,13764
253,13875
253,13890
253,13902
253,14030
253,14081
253,14124
253,14142
253,14197
253,14320
253,14381
253,14637
253,14893
253,14938
253,15108
253,15109
253,15113
253,15124
253,15132
253,15219
253,15288
253,15401
253,15452
253,15655
253,15786
253,15881
253,15971
253,16210
253,16230
253,16359
253,16407
253,16417
253,16475
253,16534
253,16593
253,16686
253,16687
253,16760
253,17025
253,17136
253,17284
253,17934
253,18686
254,5030
2,255
255,3384
256,256
256,257
256,281
256,438
256,599
256,601
256,629
256,1146
256,2864
256,3761
256,3988
256,5002
256,5762
256,5818
256,6724
256,7603
257,599
257,1643
257,1686
257,1937
257,2486
257,2752
257,3092
257,4876
257,5762
257,7708
257,7956
257,9466
257,9841
257,17146
259,2843
259,4930
267,267
267,382
267,396
267,739
267,741
267,936
267,976
267,1064
267,1361
267,1391
267,1418
267,1454
267,1597
267,1605
267,1621
267,1980
267,2082
267,2246
267,2256
267,2765
267,2767
267,2768
267,2784
267,2848
267,3203
267,3366
267,3662
267,3967
267,4089
267,4091
267,4326
267,4471
267,4473
267,4480
267,4571
267,4590
267,4618
267,4663
267,4685
267,4737
267,4744
267,4800
267,4863
267,4919
267,4943
267,5002
267,5070
267,5096
267,5293
267,5335
267,5384
267,5488
267,5606
267,5670
267,5790
267,5822
267,5829
267,5967
267,5996
267,6148
267,6368
267,6373
267,6374
267,6480
267,6504
267,6862
267,6940
267,7032
267,7119
267,7136
267,7294
267,7741
267,7961
267,8247
267,8479
267,8582
267,8879
267,9796
267,9876
267,9928
267,11071
267,11331
267,11484
267,12109
267,12228
267,13346
267,13646
267,14144
267,16719
267,16803
269,473
269,1605
269,1876
269,2256
269,2602
269,3766
269,3767
269,4195
269,5132
269,5133
269,5134
269,5135
269,5136
269,7091
269,8479
269,9876
270,928
270,929
270,6125
270,7742
270,7783
270,7784
271,271
271,396
271,936
271,3822
271,4994
271,4995
271,4996
271,4997
271,5002
271,6120
271,6732
271,8426
271,9905
271,12478
273,812
273,929
273,3566
273,8043
273,8263
274,8043
274,8423
274,8715
274,9062
275,8582
277,6474
277,8423
278,812
278,5994
278,6474
278,7236
278,8423
278,13632
281,286
281,288
281,290
281,292
281,438
281,1140
281,1206
281,1961
281,2492
281,2510
281,2634
281,3564
281,3747
281,3748
281,3761
281,4097
281,4200
281,4872
281,4929
281,4932
281,5762
281,6058
281,6496
281,6562
281,6927
281,7595
281,7659
281,8044
281,8210
281,9475
281,11469
281,14624
281,14685
281,17000
282,3964
282,4872
282,7595
282,9475
282,13997
283,13759
284,288
284,3589
284,4389
284,14254
285,2634
285,17074
286,463
286,716
286,3964
288,5370
288,9090
283,290
290,293
290,716
290,1487
290,2968
290,3964
290,3965
290,4029
290,5072
291,5056
292,716
294,1869
294,1872
294,8423
295,6261
296,3415
296,4714
296,5990
296,8365
297,5990
298,472
298,1419
298,2100
298,4380
298,4381
298,5670
298,7119
298,11593
137,299
299,992
299,1029
299,1419
299,2100
299,3220
299,4101
299,5006
299,6347
299,7577
300,1310
300,13816
278,301
300,301
301,302
301,568
301,777
301,869
301,1023
301,1310
301,1853
301,1980
301,2252
301,2692
301,2848
301,2864
301,3093
301,3166
301,3358
301,3412
301,3529
301,3545
301,3673
301,3674
301,3763
301,3768
301,3861
301,4222
301,4571
301,4750
301,5331
301,6035
301,6088
301,6218
301,7482
301,7752
301,9059
301,13332
301,13761
302,568
302,777
302,828
302,1032
302,1061
302,1274
302,1406
302,1462
302,1627
302,1980
302,2252
302,2337
302,2692
302,2848
302,2861
302,2864
302,3093
302,3131
302,3166
302,3358
302,3412
302,3545
302,3673
302,3674
302,3756
302,3757
302,3763
302,3867
302,3983
302,4222
302,4323
302,4435
302,4571
302,4750
302,4925
302,4989
302,5362
302,6035
302,6088
302,6218
302,7482
302,7752
302,7942
302,11651
302,13332
303,303
303,6149
312,730
314,2854
314,4731
315,4010
315,7961
316,9374
317,6445
317,8820
317,9074
317,9374
317,12451
317,13638
319,319
321,5302
321,6084
321,7466
321,7603
321,9940
9,322
322,1443
322,1736
322,2285
322,9193
325,325
325,10119
328,7034
329,1032
330,330
330,331
330,764
330,975
330,976
330,1170
330,1597
330,2082
330,2441
330,2502
330,2504
330,2767
330,2848
330,4035
330,4473
330,4616
330,4896
330,6721
330,7136
331,764
331,765
331,976
331,1170
331,1418
331,1650
331,1929
331,2502
331,3628
331,5902
331,8417
331,9334
331,11785
331,14489
332,5133
4,333
333,333
333,442
333,448
333,472
333,747
333,794
333,796
333,975
333,1173
333,1376
333,1522
333,1622
333,2046
333,2082
333,2440
333,2959
333,3086
333,3626
333,3753
333,3936
333,3968
333,4013
333,4738
333,4775
333,4776
333,4896
333,4897
333,5121
333,5361
333,5401
333,5573
333,5673
333,5883
333,6043
333,6412
333,6428
333,6547
333,6620
333,6768
333,7136
333,7511
333,7671
333,10409
333,10467
333,11220
333,12142
333,12939
333,13481
334,1279
334,2082
334,2083
334,7438
336,377
336,379
342,11556
344,11458
347,3577
352,5623
353,353
353,4641
353,4672
353,5496
353,5691
353,5760
353,8434
353,11436
354,8370
355,357
355,358
355,359
355,361
355,365
355,378
355,1470
355,2258
355,4169
355,7097
356,1444
357,358
357,359
357,361
357,369
357,378
357,3335
357,5040
357,14266
358,367
358,1361
358,361
359,361
361,3112
361,3116
361,4305
361,7097
362,15472
357,366
366,378
367,1012
367,17181
367,368
368,369
368,371
368,372
368,375
368,6006
368,6330
368,9820
368,10495
369,372
369,5638
369,6138
369,9820
369,9939
369,10759
369,13789
370,9374
372,6138
372,6330
372,9820
372,9939
377,1831
378,3124
378,6099
379,855
379,1831
379,5210
379,9655
379,15916
333,380
380,442
380,472
380,747
380,794
380,796
380,859
380,1418
380,1475
380,2046
380,2083
380,2963
380,3086
380,3968
380,4107
380,4108
380,4896
380,5113
380,5120
380,5121
380,6004
380,7671
380,7848
380,13467
381,442
381,1146
381,1497
381,2050
381,3086
381,3972
381,6065
381,8286
384,2461
384,4313
384,5000
384,5061
384,7470
384,8074
384,9861
384,13638
385,995
388,14638
389,2256
389,6745
389,8216
392,392
392,4702
394,394
394,403
394,472
394,2146
394,2774
394,4896
394,5124
394,5314
394,7215
394,8456
395,414
395,415
395,416
395,417
395,1876
395,2833
395,3978
395,4223
395,5132
395,5133
395,5135
395,5136
395,7482
396,617
396,1960
396,2249
396,2252
396,2261
396,2806
396,3978
396,3995
396,4370
396,5348
396,6746
396,6940
396,7571
396,8421
396,8685
398,1218
398,5896
398,6089
398,6595
398,17177
401,404
401,414
401,416
401,417
401,2833
401,4896
401,5063
401,5886
402,2082
402,2765
402,2768
403,403
403,472
403,474
403,793
403,1049
403,1050
403,1464
403,1487
403,1600
403,1603
403,1693
403,1996
403,2163
403,2676
403,2680
403,2981
403,3086
403,3633
403,3972
403,4013
403,4896
403,4994
403,4996
403,5129
403,5454
403,5925
403,6080
403,6290
403,6799
403,7108
403,7182
403,7435
403,7564
403,7619
403,7758
403,8286
403,9195
403,9302
403,10000
403,10545
403,10727
403,11348
403,12486
403,13478
403,15916
404,404
404,414
404,415
404,416
404,855
404,994
404,995
404,1693
404,2833
404,5062
404,7482
404,9600
164,405
405,7741
164,406
406,6869
164,407
407,1162
407,3387
267,413
413,472
413,705
413,734
413,736
413,738
413,742
413,743
413,745
413,1418
413,1464
413,2082
413,2252
413,2437
413,2835
413,2839
413,3389
413,4006
413,4388
413,4618
413,4685
413,4823
413,5524
413,5822
413,5902
413,5995
413,8811
413,8822
413,12694
413,14682
414,414
414,416
414,438
414,439
414,463
414,464
414,465
414,472
414,599
414,705
414,2149
414,2256
414,2492
414,2849
414,3028
414,3591
414,3659
414,3671
414,3688
414,3702
414,3756
414,3810
414,3967
414,3978
414,4195
414,4481
414,4518
414,4896
414,4898
414,5696
414,5741
414,5851
414,6726
414,8462
414,9004
414,11458
414,14141
415,438
415,439
415,6726
416,438
416,439
416,464
416,600
416,745
416,855
416,994
416,995
416,1659
416,3591
416,3677
416,3967
416,3978
416,4204
416,4896
416,4898
416,4915
416,5062
416,5696
416,5741
416,6726
416,7741
416,7779
416,9004
416,11426
416,11458
416,14141
416,18724
417,438
417,439
417,3677
417,6726
417,14141
403,418
418,1055
418,1056
418,1418
418,1650
418,1979
418,2082
418,2502
418,3164
418,3165
418,4206
418,5597
418,5670
418,5822
418,7136
418,7383
418,7495
418,10987
418,12639
419,419
419,793
419,1055
419,2082
419,2451
419,2502
419,3532
419,4549
419,5210
419,6373
419,6374
419,6504
419,6722
419,7994
419,8386
419,8615
419,9917
419,10039
419,10387
419,11603
419,17085
420,4473
424,18130
426,617
426,987
426,1257
426,1454
426,1568
426,1937
426,2076
426,2256
426,2580
426,2916
426,3527
426,4896
426,4943
426,11126
430,1160
431,3254
208,435
435,785
435,3897
436,436
437,3955
437,4618
257,438
438,599
438,4107
438,5762
439,14069
440,2082
440,2083
